codigo_ine,meta_ods,promedio_indice,n_indicadores,periodo_max,ods_objetivo
43003,1.3,100.0,1,2022,1
43003,1.5,73.57532645,1,2024,1
43003,10.1,55.671780566666676,3,2023,10
43003,10.2,60.6001292,2,2025,10
43003,10.4,100.0,2,2023,10
43003,11.2,57.202877665,2,2023,11
43003,11.3,95.333644425,2,2024,11
43003,11.4,13.26785384,1,2025,11
43003,11.6,68.0,1,2023,11
43003,11.7,11.42503332,1,2024,11
43003,12.5,100.0,2,2024,12
43003,12.b,65.41176471,1,2025,12
43003,13.2,74.10769148,1,2022,13
43003,15.1,68.207384385,2,2024,15
43003,15.2,91.71590869,1,2024,15
43003,16.6,0.0,1,2024,16
43003,16.7,100.0,1,2023,16
43003,17.1,81.27431032999999,2,2025,17
43003,17.17,0.0,1,2024,17
43003,2.2,57.75,1,2024,2
43003,2.3,35.00310106925,4,2025,2
43003,2.4,30.18939394,1,2024,2
43003,3.4,48.34200533,2,2024,3
43003,3.6,100.0,1,2023,3
43003,3.8,74.65172924500001,2,2024,3
43003,3.b,8.727214234,1,2024,3
43003,5.1,97.01333333,1,2025,5
43003,5.5,0.0,1,2023,5
43003,5.c,93.60619228499999,2,2025,5
43003,6.4,100.0,1,2024,6
43003,7.1,91.08616036,1,2023,7
43003,7.3,91.91347826,1,2024,7
43003,8.2,100.0,1,2025,8
43003,8.3,90.42719639500001,2,2025,8
43003,8.5,91.62907460666668,3,2025,8
43003,8.9,45.20927623,1,2024,8
43003,9.2,58.1838565,1,2025,9
43003,9.5,0.0,1,2025,9
43003,9.c,53.60861538,1,2024,9
43004,1.1,52.9109589,1,2023,1
43004,1.2,32.58037229333333,3,2023,1
43004,1.3,96.18563993,1,2024,1
43004,1.4,51.66702833,1,2024,1
43004,10.1,43.69479312000001,3,2023,10
43004,10.2,55.30558295666666,3,2025,10
43004,10.4,5.662393162500001,2,2023,10
43004,11.1,78.25818781,1,2025,11
43004,11.2,57.267612025,2,2023,11
43004,11.3,91.2875089,2,2024,11
43004,11.4,0.1624173525,1,2025,11
43004,11.6,40.0,2,2023,11
43004,11.7,48.5604267,1,2024,11
43004,12.5,4.8643888695,2,2024,12
43004,12.b,70.41176471,1,2025,12
43004,13.2,0.0,1,2022,13
43004,14.1,50.0,3,2025,14
43004,15.1,42.439236405,2,2024,15
43004,15.2,58.31734693,1,2024,15
