codigo_ine,nombre,poblacion,id_poblacion,id_especial,id_especial2,id_especial3
43100,Els Pallaresos,5028,5.000-20.000,Tarragonès,Municipios de servicios generales,aue
43101,Passanant i Belltall,149,<5.000,Conca de Barberà,Municipio de proximidad,
43102,Paüls,558,<5.000,Baix Ebre,Municipios agroproductivos,
43103,Perafort,1342,<5.000,Tarragonès,Municipios industriales,aue
43104,El Perelló,2948,<5.000,Baix Ebre,Municipios mixtos,
43105,Les Piles,229,<5.000,Conca de Barberà,Municipio de proximidad,
43106,El Pinell de Brai,948,<5.000,Terra Alta,Municipios industriales,
43107,Pira,512,<5.000,Conca de Barberà,Municipios industriales,
43108,El Pla de Santa Maria,2408,<5.000,Alt Camp,Municipios industriales,
43109,La Pobla de Mafumet,4175,<5.000,Tarragonès,Municipios industriales,aue
43110,La Pobla de Massaluca,344,<5.000,Terra Alta,Municipios agroproductivos,
43111,La Pobla de Montornès,3440,<5.000,Tarragonès,Municipios industriales,
43112,Poboleda,345,<5.000,Priorat,Municipios agroproductivos,
43113,El Pont d'Armentera,500,<5.000,Alt Camp,Municipios industriales,
43114,Porrera,405,<5.000,Priorat,Municipios agroproductivos,
43115,Pradell de la Teixeta,182,<5.000,Priorat,Municipio de proximidad,
43116,Prades,629,<5.000,Baix Camp,Municipios turístico-culturales,
43117,El Prat de Comte,174,<5.000,Terra Alta,Municipio de proximidad,
43118,Pratdip,781,<5.000,Baix Camp,Municipios de servicios generales,
43119,Puigpelat,1222,<5.000,Alt Camp,Municipios industriales,
43120,Querol,611,<5.000,Alt Camp,Municipios de servicios generales,
43121,Rasquera,786,<5.000,Ribera d'Ebre,Municipios mixtos,
43122,Renau,165,<5.000,Tarragonès,Municipio de proximidad,
43123,Reus,111601,>100.000,Baix Camp,Municipios de servicios generales,aue
43124,La Riba,574,<5.000,Alt Camp,Municipios industriales,
43125,Riba-roja d'Ebre,1132,<5.000,Ribera d'Ebre,Municipios de servicios generales,
43126,La Riera de Gaià,1834,<5.000,Tarragonès,Municipios industriales,
43127,Riudecanyes,1362,<5.000,Baix Camp,Municipios logístico-comerciales,
43128,Riudecols,1264,<5.000,Baix Camp,Municipios industriales,
43129,Riudoms,6891,5.000-20.000,Baix Camp,Municipios industriales,aue
43130,Rocafort de Queralt,247,<5.000,Conca de Barberà,Municipio de proximidad,
43131,Roda de Berà,8260,5.000-20.000,Tarragonès,Municipios industriales,
43132,Rodonyà,519,<5.000,Alt Camp,Municipios industriales,
43133,Roquetes,8607,5.000-20.000,Baix Ebre,Municipios mixtos,
43134,El Rourell,385,<5.000,Alt Camp,Municipios logístico-comerciales,aue
43135,Salomó,519,<5.000,Tarragonès,Municipios industriales,
43136,La Ràpita,16119,5.000-20.000,Montsià,Municipios logístico-comerciales,
43137,Sant Jaume dels Domenys,2819,<5.000,Baix Penedès,Municipios industriales,
43138,Santa Bàrbara,3871,<5.000,Montsià,Municipios logístico-comerciales,
43139,Santa Coloma de Queralt,2795,<5.000,Conca de Barberà,Municipios industriales,
43140,Santa Oliva,3711,<5.000,Baix Penedès,Municipios de servicios generales,
43141,Pontils,124,<5.000,Conca de Barberà,Municipio de proximidad,
43142,Sarral,1644,<5.000,Conca de Barberà,Municipios industriales,
43143,Savallà del Comtat,49,<5.000,Conca de Barberà,Municipio de proximidad,
43144,La Secuita,1845,<5.000,Tarragonès,Municipios de servicios generales,aue
43145,La Selva del Camp,5732,5.000-20.000,Baix Camp,Municipios industriales,aue
43146,Senan,47,<5.000,Conca de Barberà,Municipio de proximidad,
43147,Solivella,633,<5.000,Conca de Barberà,Municipios agroproductivos,
43148,Tarragona,143649,>100.000,Tarragonès,Municipios de servicios generales,aue
43149,Tivenys,948,<5.000,Baix Ebre,Municipios mixtos,
43150,Tivissa,1658,<5.000,Ribera d'Ebre,Municipios de servicios generales,
43151,La Torre de Fontaubella,124,<5.000,Priorat,Municipio de proximidad,
43152,La Torre de l'Espanyol,641,<5.000,Ribera d'Ebre,Municipios agroproductivos,
43153,Torredembarra,18237,5.000-20.000,Tarragonès,Municipios logístico-comerciales,aue
43154,Torroja del Priorat,129,<5.000,Priorat,Municipios mixtos,
43155,Tortosa,35997,20.000-50.000,Baix Ebre,Municipios de servicios generales,
43156,Ulldecona,6714,5.000-20.000,Montsià,Municipios industriales,
43157,Ulldemolins,389,<5.000,Priorat,Municipios agroproductivos,
43158,Vallclara,91,<5.000,Conca de Barberà,Municipio de proximidad,
43159,Vallfogona de Riucorb,95,<5.000,Conca de Barberà,Municipio de proximidad,
43160,Vallmoll,1997,<5.000,Alt Camp,Municipios industriales,aue
43161,Valls,25518,20.000-50.000,Alt Camp,Municipios de servicios generales,aue
43162,Vandellòs i l'Hospitalet de l'Infant,7143,5.000-20.000,Baix Camp,Municipios industriales,
43163,El Vendrell,41133,20.000-50.000,Baix Penedès,Municipios de servicios generales,
43164,Vespella de Gaià,502,<5.000,Tarragonès,Municipios logístico-comerciales,
43165,Vilabella,724,<5.000,Alt Camp,Municipios industriales,
43166,Vilallonga del Camp,2495,<5.000,Tarragonès,Municipios industriales,aue
43167,Vilanova d'Escornalbou,614,<5.000,Baix Camp,Municipios logístico-comerciales,
43168,Vilanova de Prades,111,<5.000,Conca de Barberà,Municipio de proximidad,
43169,Vilaplana,549,<5.000,Baix Camp,Municipios de servicios generales,
43170,Vila-rodona,1382,<5.000,Alt Camp,Municipios mixtos,
43171,Vila-seca,23917,20.000-50.000,Tarragonès,Municipios turístico-culturales,aue
43172,Vilaverd,493,<5.000,Conca de Barberà,Municipios mixtos,
43173,La Vilella Alta,127,<5.000,Priorat,Municipio de proximidad,
43174,La Vilella Baixa,201,<5.000,Priorat,Municipios industriales,
43175,Vilalba dels Arcs,611,<5.000,Terra Alta,Municipios agroproductivos,
43176,Vimbodí i Poblet,887,<5.000,Conca de Barberà,Municipios mixtos,
43177,Vinebre,427,<5.000,Ribera d'Ebre,Municipios logístico-comerciales,
43178,Vinyols i els Arcs,2450,<5.000,Baix Camp,Municipios industriales,aue
43901,Deltebre,12041,5.000-20.000,Baix Ebre,Municipios mixtos,
43902,Sant Jaume d'Enveja,3745,<5.000,Montsià,Municipios mixtos,
43903,Camarles,3465,<5.000,Baix Ebre,Municipios industriales,
43904,L'Aldea,4657,<5.000,Baix Ebre,Municipios industriales,
43905,Salou,31491,20.000-50.000,Tarragonès,Municipios de servicios generales,aue
43906,L'Ampolla,3785,<5.000,Baix Ebre,Municipios mixtos,
43907,La Canonja,6001,5.000-20.000,Tarragonès,Municipios logístico-comerciales,aue
43,Área Metropolitana de Tarragona,,,,,aue
