indicador,clase,nombre,detalle,fuente,fuente_link,actualizacion,corte_muestra,unidad,tipo,formula,umbral_optimo,umbral_malo,ods,meta,aue1,aue2,muestra_ods,muestra_aue,le,le2
295,AUE,Instalaciones sanitarias por 10.000 habitantes,Número de centros de salud u hospitales por cada 10.000 habitantes.,CatSalut. Servei Català de la Salut,https://catsalut.gencat.cat/ca/centres-sanitaris/cercador/,2026,,x10.000 hab,QT,↑ Ascendente (más = mejor),76.25,0,,,2,2.1,,2.1.2.b,1,1.1
296,AUE,Instalaciones deportivas por 10.000 habitantes,Número de equipamientos deportivos por cada 10.000 habitantes.,Cens d’Equipaments Esportius de Catalunya (CEEC),https://sig.gencat.cat/visors/hipermapa.html,2026,,x10.000 hab,QT,↑ Ascendente (más = mejor),213,0,,,2,2.1,,2.1.2.d,1,1.1
297,AUE,Puntos verdes por 10.000 habitantes,Número de instalaciones de recogida selectiva por cada 10.000 habitantes.,Agència de Residus de Catalunya,https://sig.gencat.cat/visors/hipermapa.html,2016,,x10.000 hab,QT,↑ Ascendente (más = mejor),13,0,,,2,2.1,,2.1.2.e,5,5.1
53,Agenda 2030,Porcentaje de suelo artificial,"Proporción de la superficie municipal ocupada por suelo urbano o urbanizable (edificación, infraestructuras, zonas industriales).",Dades del mapa urbanístic de Catalunya,https://analisi.transparenciacatalunya.cat/Urbanisme-infraestructures/Dades-del-mapa-urban-stic-de-Catalunya/epsm-zskb/about_data,2015-2024,,%,QT,↓ Descendente (menos = mejor),0.31,16.38,11,11.3,,,11.3.2,,,
285,Agenda 2030,Tasa de criminalidad,Número de infracciones penales conocidas por las fuerzas de seguridad por cada 1.000 habitantes del municipio.,MIR,https://estadisticasdecriminalidad.ses.mir.es/publico/portalestadistico/,2016-2025,,x1.000 hab,QT,↓ Descendente (menos = mejor),0,82.37,16,16.1,,,16.1.1,,,
286,Agenda 2030,Tasa de homicidios y asesinatos,Número de homicidios dolosos y asesinatos consumados por cada 100.000 habitantes del municipio.,MIR,https://estadisticasdecriminalidad.ses.mir.es/publico/portalestadistico/,2016-2025,,x100.000 hab,QT,↓ Descendente (menos = mejor),0,82.37,16,16.1,,,16.1.2,,,
284,Agenda 2030,Tráfico de drogas,Número de detenciones por delitos relacionados con el tráfico de drogas por cada 100.000 habitantes del municipio.,MIR,https://estadisticasdecriminalidad.ses.mir.es/publico/portalestadistico/,2016-2025,,x100.000 hab,QT,↓ Descendente (menos = mejor),0,2.6,16,16.4,,,16.4.1,,,
204,Agenda 2030 y AUE,Solidez y autonomía presupuestaria de la institución municipal,"Proporción de los ingresos propios (capítulos 1, 2, 3 y 5) sobre los ingresos totales del presupuesto municipal liquidado.",CONPREL,https://serviciostelematicosext.hacienda.gob.es/SGFAL/CONPREL,2015-2024,,%,QT,↑ Ascendente (más = mejor),85.18,40.97,16,16.6,10,10.3,16.6.2,10.3.2.a,6,6.2
70,Agenda 2030,Participación en las elecciones municipales,Porcentaje de personas censadas que han ejercido el derecho al voto en las últimas elecciones municipales.,MIR,https://infoelectoral.interior.gob.es/es/elecciones-celebradas/area-de-descargas/,2023,,%,QT,↑ Ascendente (más = mejor),75.59,54.29,16,16.7,,,16.7.1,,,
73,Agenda 2030,Deuda viva por habitante,"Importe de la deuda financiera pendiente de amortización del ayuntamiento por habitante, en euros.",GENCAT,https://analisi.transparenciacatalunya.cat/Sector-P-blic/Endeutament-ens-local/c9ag-cye6/about_data,2015-2024,,€,QT,↓ Descendente (menos = mejor),0,810.43,17,17.1,,,17.1.1,,,
74,Agenda 2030,Ingresos por el IAE y el IBI,"Importe total recaudado por el Impuesto sobre Actividades Económicas (IAE) y el Impuesto sobre Bienes Inmuebles (IBI) por habitante, en euros.",GENCAT,https://analisi.transparenciacatalunya.cat/Economia/Pressupostos-dels-ens-municipals-de-Catalunya/4g9s-gzp6/about_data,2015-2025,,€,QT,↑ Ascendente (más = mejor),731.64,184.25,17,17.1,,,17.1.2,,,
76,Agenda 2030,Número de entidades ONGD por habitante,Número de organizaciones no gubernamentales para el desarrollo (ONGD) inscritas en el Registro de la Generalitat con sede en el municipio por cada 10.000 habitantes.,GENCAT,https://analisi.transparenciacatalunya.cat/Societat-benestar/Entitats-inscrites-en-el-Registre-d-organitzacions/4d69-gxhb/about_data,2024,,x10.000 hab,QT,↑ Ascendente (más = mejor),11.76,0,17,17.17,,,17.17.1,,,
75,Agenda 2030,Presupuesto destinado a ayuda oficial al desarrollo,Importe del presupuesto municipal destinado a cooperación al desarrollo y ayuda oficial al desarrollo (AOD) por habitante.,Fons Català,https://fonscatala.org/observatori-de-la-cooperacio-municipalista/,2019-2023,,€/hab,QT,↑ Ascendente (más = mejor),35.56,0,17,17.2,,,17.2.1,,,
55,Agenda 2030 y AUE,Equipamientos culturales por población,"Número de equipamientos culturales (museos, bibliotecas, teatros, centros cívicos, etc.) por cada 10.000 habitantes del municipio.",Equipaments culturals de Catalunya,https://analisi.transparenciacatalunya.cat/Cultura-oci/Equipaments-culturals-de-Catalunya/48s6-82h2/about_data,2025,,x10.000 hab,QT,↑ Ascendente (más = mejor),90.91,6.83,11,11.4,1,1.2,11.4.2,1.2.3.a,1;3,1.1;3.1
56,Agenda 2030 y AUE,Superficie de zonas verdes por habitante (m²/habitante),Superficie (en m²) de zona verde por habitante en suelo urbano consolidado.,Dades del mapa urbanístic de Catalunya,https://analisi.transparenciacatalunya.cat/Urbanisme-infraestructures/Dades-del-mapa-urban-stic-de-Catalunya/epsm-zskb/about_data,2015-2024,,m²/hab,QT,↑ Ascendente (más = mejor),85,6.67,11,11.7,2,2.4,11.7.1,2.4.2.1,5,5.1
65,Agenda 2030,Porcentaje de superficie forestal,"Proporción de la superficie municipal cubierta por masas forestales (bosque denso, bosque claro, matorrales).",Atlas Digital de las Áreas Urbanas en España. Datos Descriptivos de la Agenda Urbana Española.,https://atlasau.mivau.gob.es/#c=home,2017,,%,QT,↑ Ascendente (más = mejor),84.45,12.78,15,15.1,,,15.1.1,,,
66,Agenda 2030 y AUE,Superficie municipal con figura de protección y órgano de gestión de los espacios abiertos,Porcentaje de la superficie municipal incluida en espacios naturales protegidos con plan de gestión activo.,Unitat d'Informació i Coneixement (Direcció General de Polítiques Ambientals i Medi Natural),https://mediambient.gencat.cat/ca/05_ambits_dactuacio/,2024,,%,QT,↑ Ascendente (más = mejor),80.38,0,15,15.1,1,1.2,15.1.2,1.2.2.a,1;3,1.1;3.1
67,Agenda 2030,Superficie del suelo no urbanizable,Proporción de la superficie municipal clasificada como suelo no urbanizable sobre la superficie total del término municipal.,Dades del mapa urbanístic de Catalunya,https://analisi.transparenciacatalunya.cat/Urbanisme-infraestructures/Dades-del-mapa-urban-stic-de-Catalunya/epsm-zskb/about_data,2015-2024,,%,QT,↑ Ascendente (más = mejor),99.11,64.37,15,15.2,,,15.2.1,,,
