indicador,nombre,unidad,municipios,conteo,minimo,maximo,desv_tipica,percentil25,percentil75,percentil10,percentil90,origen,umbral_optimo,umbral_malo
246,Temporalidad laboral,%,185,2032,0.00,100.00,21.59,62.57,92.18,42.33,96.36,Percentil 10 Tarragona; Percentil 75 Tarragona,42.33,92.18
42,Presión turística,plazas/habitante,182,1774,9.17,60280.37,6290.99,315.35,2460.32,139.27,7062.47,Percentil 75 Tarragona; Mínimo Tarragona,2460.32,9.17
43,Porcentaje de ocupación en el sector industrial,%,185,2035,0.00,88.22,17.89,5.41,26.45,2.56,44.62,REDS,19.46,1.62
44,Empresas de conocimiento por 10.000 habitantes,x10.000 hab,185,1850,0.00,113.64,12.98,0.00,14.11,0.00,23.26,Percentil 90 Tarragona; Mínimo Tarragona,23.26,0.00
186,Patentes per cápita,patentes/100.000 hab,37,107,0.09,54.64,8.19,0.41,1.91,0.21,5.97,REDS,12.46,0.00
45,Cobertura de internet,%,179,942,0.23,100.00,24.37,73.74,96.70,42.20,99.49,CEST,90.00,25.00
47,Desigualdad de renta,Índice,180,1600,1.80,4.80,0.38,2.40,2.80,2.20,3.10,REDS,1.80,4.20
48,Renta por habitante,€,185,1618,8195.00,28987.00,2089.36,10977.50,13577.75,10018.70,15032.60,Media Catalunya; Media España,20758.00,18457.00
46,Índice de Gini,Índice,180,1600,20.90,45.20,3.25,27.70,32.00,26.10,34.20,REDS,20.30,44.20
119,Índice de vulnerabilidad urbana,%,129,1110,0.00,34.05,3.76,0.00,0.00,0.00,0.00,CEST,0.00,25.00
257,Índice de dependencia total,%,185,2035,33.33,121.05,10.65,53.37,67.11,48.68,74.98,REDS,37.01,60.23
256,Personas extranjeras ocupadas,%,94,282,17.92,63.83,8.11,38.18,47.57,32.36,52.08,REDS,69.47,24.05
49,Porcentaje de población con ingresos inferiores al 50% de la mediana (hombres),%,129,1111,1.90,26.30,4.49,10.35,17.10,8.00,19.70,Percentil 10 Tarragona; Percentil 90 Tarragona,8.00,19.7
50,Porcentaje de población con ingresos inferiores al 50% de la mediana (mujeres),%,129,1111,2.70,26.60,4.25,10.40,16.80,8.30,19.10,Percentil 10 Tarragona; Percentil 90 Tarragona,8.30,19.10
51,Esfuerzo económico del alquiler,%,132,1067,5.33,30.19,3.07,11.69,15.39,10.42,17.90,Percentil 10 Tarragona; Máximo Tarragona,10.41,30.19
264,Índice de precios de la vivienda en alquiler,Índice,16,144,99.88,120.87,5.57,102.60,111.67,100.00,115.06,REDS,100,129.659
112,Confort acústico diurno (Sistema Municipal de Indicadores de Sostenibilidad),%,1,1,11.60,11.60,0.00,11.60,11.60,11.60,11.60,SMIS,60,0
113,Confort acústico nocturno (Sistema Municipal de Indicadores de Sostenibilidad),%,1,1,15.90,15.90,0.00,15.90,15.90,15.90,15.90,SMIS,80,0
265,Infraestructura de transporte,%,185,185,0.00,11.36,1.95,1.53,3.30,1.05,5.18,REDS,18.20,0.39
275,Costa y hábitats naturales marinos protegidos,%,22,22,0.00,100.00,35.41,0.00,31.26,0.00,96.54,REDS,100,0
114,Concentración media anual de NO₂,µg/m³,9,81,3.00,23.20,5.66,8.00,18.00,5.00,19.00,OMS,0,25
115,Número de días con superación del límite OMS de PM10,días,9,81,0.00,54.00,9.21,1.00,4.00,0.00,10.00,OMS,0,3
276,Número de banderas azules,%,16,16,25.00,100.00,22.10,50.00,70.00,41.67,100.00,REDS,100,0
58,Tasa de recogida selectiva,%,185,1850,9.12,89.63,14.95,40.14,60.07,30.62,71.28,Percentil 90 Catalunya; Media Catalunya,77.823,54.5
59,Generación de residuos domésticos por habitante y año,kg/hab*año,185,1850,200.43,1881.63,186.60,395.78,580.69,337.16,730.26,Media Catalunya; Percentil 90 Tarragona,447,730.9
272,Viviendas de uso turístico,%,185,1110,0.00,20.74,2.19,0.35,2.08,0.07,3.56,Mínimo Tarragona Winsorizado 3,0,8.5
129,Emisiones totales de gases de efecto invernadero por habitante,t CO2eq/Hab,181,181,0.00,1268.21,105.34,2.16,14.42,0.59,40.20,REDS,0,10
278,Calidad de las aguas de baño,%,22,22,57.14,100.00,12.55,90.85,100.00,75.00,100.00,REDS,100,0
294,Instalaciones educativas por 10.000 habitantes,x10.000 hab,31,31,0.00,32.47,5.42,2.81,5.11,1.86,7.23,Mínimo Tarragona; Percentil 95 Tarragona,38.81,0
