codigo_ine,ods_objetivo,promedio_metas,n_metas
43012,4,72.0248170309,5
43012,5,94.44236460333333,3
43012,6,91.09246575,1
43012,7,85.9436137,2
43012,8,75.468201208126,4
43012,9,67.76321366566667,3
43013,1,55.9736838575,4
43013,10,48.143409580555556,3
43013,11,53.04340037300001,5
43013,12,14.10806175,2
43013,13,0.0,1
43013,14,51.06643480333333,1
43013,15,30.413569585,2
43013,16,70.00723818,2
43013,17,18.95951698,2
43013,2,40.320249505,2
43013,3,100.0,1
43013,4,55.814,1
43013,5,74.33040558666666,3
43013,6,30.989283655,2
43013,7,62.50548276,2
43013,8,79.00576050416666,4
43013,9,55.62423418,3
43014,1,38.229334905,4
43014,10,37.38243246444444,3
43014,11,44.98896576,5
43014,12,68.1408707875,2
43014,13,44.83333039,1
43014,14,99.10276002,1
43014,15,55.2587939825,2
43014,16,47.86814523375,4
43014,17,51.1565212525,2
43014,2,29.66950889163333,3
43014,3,63.01727633910714,8
43014,4,51.66346128135,6
43014,5,85.12202232166668,3
43014,6,95.606734725,2
43014,7,67.399140525,2
43014,8,62.68831350958333,4
43014,9,74.24198555483333,3
43015,1,100.0,2
43015,10,59.962444903333335,2
43015,11,73.83341110625,4
43015,12,40.320714635,2
43015,13,29.45871926,1
43015,15,98.4327027,2
43015,16,50.0,2
43015,17,26.56325015075,2
43015,2,40.36273333325,2
43015,3,100.0,1
43015,5,97.03304597666666,3
43015,6,100.0,1
43015,7,79.17171532500001,2
43015,8,74.40275489000001,4
43015,9,1.4267757305,2
43016,1,45.613828124166666,4
43016,10,56.61806454277778,3
43016,11,39.3345122255,5
43016,12,90.3286114075,2
43016,13,0.0,1
43016,15,20.18578653135,2
43016,16,77.53245872,2
43016,17,31.478669902500002,2
43016,2,11.39780403925,2
43016,3,100.0,1
43016,4,0.0,1
43016,5,69.69235003666667,3
43016,6,47.01503772,2
43016,7,29.609519675,2
43016,8,52.775670279,4
43016,9,85.75789192,3
43017,1,92.57743880000001,2
43017,10,46.075426425,2
43017,11,87.67279704625,4
43017,12,92.0893382725,2
43017,13,0.0,1
43017,15,73.76792736,2
43017,16,50.0,2
43017,17,40.760134455,2
43017,2,3.345435685,2
43017,3,100.0,1
43017,5,85.34310561333332,3
43017,6,100.0,1
43017,7,82.241080695,2
43017,8,80.20063218416666,4
43017,9,31.86815384666667,3
43018,1,66.66666667,1
43018,10,37.10957713,2
43018,11,80.03713751375,4
43018,12,56.8444106625,2
43018,13,51.83476516,1
43018,15,94.90669016999999,2
43018,16,50.0,2
43018,17,16.0741696875,2
43018,2,31.413461363750002,2
43018,3,100.0,1
43018,4,100.0,1
43018,5,91.48824869333333,3
43018,6,63.8768645,1
43018,7,69.07072818,2
43018,8,78.7441482875,4
43018,9,69.85930623133333,3
43019,1,61.979546527000004,5
43019,10,55.76764031666667,3
43019,11,68.793851226,5
43019,12,73.775116115,2
43019,13,49.85353919,1
43019,15,57.7548480675,2
43019,16,96.59138204,2
43019,17,50.0,2
43019,2,31.93420867,2
43019,3,100.0,1
43019,4,54.970337659799995,5
43019,5,85.24268136833332,3
43019,6,65.23230036,1
43019,7,78.25536486,2
43019,8,60.20575703883333,4
43019,9,76.52539378666667,3
43020,1,50.13170287413333,5
43020,10,81.88343825833333,3
43020,11,41.484430509000006,5
43020,12,63.1821029175,2
43020,13,77.79536376,1
43020,15,7.051613095,2
43020,16,74.65460303,2
43020,17,31.1137306125,2
43020,2,16.433662373125003,2
43020,3,100.0,1
43020,4,61.91842888466,5
43020,5,65.894100755,3
43020,6,99.82797651,1
43020,7,78.216897765,2
43020,8,54.308427449999996,4
43020,9,73.70913907666666,3
43021,1,62.65747374666666,3
43021,10,61.907665988333335,2
43021,11,78.020115065,5
43021,12,86.720947935,2
43021,13,0.0,1
43021,15,49.3576557995,2
43021,16,58.4934404,2
43021,17,24.46122991,2
43021,2,50.0585480093625,2
43021,3,100.0,1
43021,4,100.0,1
43021,5,66.642020875,3
43021,6,60.47214936,1
43021,7,70.9567393,2
43021,8,65.7398865875,4
43021,9,82.97553846,3
43022,1,47.39056385,4
43022,10,44.64595439388889,3
43022,11,64.78306950300001,5
